,Small Component,Big Component,Small2 Component,Big2 Component,Score
4,consensus independent component 102_s1,consensus independent component 43_big,consensus independent component 101_s2,consensus independent component 43_big,-0.2923411774976327
307,consensus independent component 85_s1,consensus independent component 61_big,consensus independent component 87_s2,consensus independent component 61_big,-0.2963073132141082
295,consensus independent component 7_s1,consensus independent component 55_big,consensus independent component 25_s2,consensus independent component 55_big,-0.3076394188045747
165,consensus independent component 20_s1,consensus independent component 68_big,consensus independent component 175_s2,consensus independent component 68_big,-0.30768716551487196
155,consensus independent component 193_s2,consensus independent component 25_big,consensus independent component 44_s1,consensus independent component 25_big,-0.31189369163012515
88,consensus independent component 140_s1,consensus independent component 167_big,consensus independent component 177_s2,consensus independent component 152_big,-0.31737739661527387
305,consensus independent component 84_s1,consensus independent component 89_big,consensus independent component 10_s2,consensus independent component 89_big,-0.3187568474000617
157,consensus independent component 195_s2,consensus independent component 51_big,consensus independent component 83_s1,consensus independent component 51_big,-0.31992766936456896
303,consensus independent component 83_s1,consensus independent component 51_big,consensus independent component 120_s2,consensus independent component 51_big,-0.3252535444480965
213,consensus independent component 42_s1,consensus independent component 60_big,consensus independent component 76_s2,consensus independent component 60_big,-0.3264317865795394
301,consensus independent component 82_s1,consensus independent component 105_big,consensus independent component 134_s2,consensus independent component 105_big,-0.32993003079842487
141,consensus independent component 181_s2,consensus independent component 64_big,consensus independent component 28_s1,consensus independent component 48_big,-0.3395071328003423
106,consensus independent component 152_s2,consensus independent component 115_big,consensus independent component 95_s1,consensus independent component 115_big,-0.3400838048798187
289,consensus independent component 77_s1,consensus independent component 75_big,consensus independent component 26_s2,consensus independent component 75_big,-0.34122154522479076
158,consensus independent component 196_s2,consensus independent component 8_big,consensus independent component 126_s1,consensus independent component 78_big,-0.3485550038546824
51,consensus independent component 123_s2,consensus independent component 128_big,consensus independent component 111_s1,consensus independent component 128_big,-0.35711960894550243
82,consensus independent component 138_s1,consensus independent component 38_big,consensus independent component 156_s2,consensus independent component 38_big,-0.35825569989376593
217,consensus independent component 44_s1,consensus independent component 25_big,consensus independent component 82_s2,consensus independent component 25_big,-0.3634897243623242
134,consensus independent component 176_s2,consensus independent component 157_big,consensus independent component 112_s1,consensus independent component 131_big,-0.36796652302519683
298,consensus independent component 80_s2,consensus independent component 70_big,consensus independent component 46_s1,consensus independent component 70_big,-0.3719697940185494
279,consensus independent component 72_s1,consensus independent component 170_big,consensus independent component 74_s2,consensus independent component 170_big,-0.3755048865276252
329,consensus independent component 95_s1,consensus independent component 115_big,consensus independent component 138_s2,consensus independent component 115_big,-0.379854351765612
226,consensus independent component 48_s2,consensus independent component 2_big,consensus independent component 8_s1,consensus independent component 2_big,-0.3803062007266296
223,consensus independent component 47_s1,consensus independent component 100_big,consensus independent component 122_s2,consensus independent component 100_big,-0.3845688435673397
119,consensus independent component 163_s2,consensus independent component 140_big,consensus independent component 92_s1,consensus independent component 140_big,-0.3849870645198611
100,consensus independent component 148_s2,consensus independent component 125_big,consensus independent component 101_s1,consensus independent component 125_big,-0.3864910917762703
33,consensus independent component 115_s2,consensus independent component 128_big,consensus independent component 111_s1,consensus independent component 128_big,-0.38717132062480314
215,consensus independent component 43_s1,consensus independent component 91_big,consensus independent component 143_s2,consensus independent component 149_big,-0.3879368494832764
203,consensus independent component 38_s1,consensus independent component 92_big,consensus independent component 70_s2,consensus independent component 92_big,-0.3882652830828046
73,consensus independent component 133_s2,consensus independent component 87_big,consensus independent component 25_s1,consensus independent component 87_big,-0.39233604034502667
117,consensus independent component 161_s2,consensus independent component 139_big,consensus independent component 31_s1,consensus independent component 31_big,-0.394238976278265
186,consensus independent component 2_s2,consensus independent component 48_big,consensus independent component 28_s1,consensus independent component 48_big,-0.39765658042100416
77,consensus independent component 135_s2,consensus independent component 67_big,consensus independent component 14_s1,consensus independent component 83_big,-0.4011366017664145
