,Small Component,Big Component,Small2 Component,Big2 Component,Score
1365,consensus independent component 220_Normal,consensus independent component 3616_big,consensus independent component 73_Adrenal cancer,consensus independent component 2033_big,-0.03817650082415811
46,consensus independent component 102_Renal cancer,consensus independent component 701_big,consensus independent component 45_Melanoma,consensus independent component 7_big,-0.038191888377267225
385,consensus independent component 125_Brain cancer,consensus independent component 143_big,consensus independent component 101_Colorectal cancer,consensus independent component 143_big,-0.03828325831084173
519,consensus independent component 133_Sarcoma,consensus independent component 3411_big,consensus independent component 42_Leukemia,consensus independent component 2775_big,-0.038300500368308094
2774,consensus independent component 62_HNSCC,consensus independent component 1199_big,consensus independent component 15_Colorectal cancer,consensus independent component 124_big,-0.038394066016734466
38,consensus independent component 102_HNSCC,consensus independent component 3107_big,consensus independent component 245_Sarcoma,consensus independent component 122_big,-0.03840947247139605
1554,consensus independent component 25_Renal cancer,consensus independent component 3537_big,consensus independent component 161_Melanoma,consensus independent component 855_big,-0.03841524300434043
816,consensus independent component 155_Gastric cancer,consensus independent component 3768_big,consensus independent component 58_Leukemia,consensus independent component 1857_big,-0.03860392219204919
1696,consensus independent component 28_Ovarian cancer,consensus independent component 3198_big,consensus independent component 107_Melanoma,consensus independent component 3233_big,-0.03864868865820964
1967,consensus independent component 34_Normal,consensus independent component 808_big,consensus independent component 134_Breast cancer,consensus independent component 808_big,-0.03868573185112634
2621,consensus independent component 56_Prostate cancer,consensus independent component 3704_big,consensus independent component 104_Colorectal cancer,consensus independent component 449_big,-0.0387184009742815
2527,consensus independent component 53_HCC,consensus independent component 3231_big,consensus independent component 17_Lung cancer,consensus independent component 2884_big,-0.03878591570272617
511,consensus independent component 133_HCC,consensus independent component 254_big,consensus independent component 8_Lung cancer,consensus independent component 254_big,-0.03883683660963627
1456,consensus independent component 23_Ovarian cancer,consensus independent component 14_big,consensus independent component 113_Colorectal cancer,consensus independent component 14_big,-0.038866275197516745
2651,consensus independent component 57_Sarcoma,consensus independent component 3618_big,consensus independent component 48_Normal,consensus independent component 452_big,-0.03906833668311965
3307,consensus independent component 8_Gastric cancer,consensus independent component 91_big,consensus independent component 186_Colorectal cancer,consensus independent component 431_big,-0.03912049175463585
3378,consensus independent component 93_Lymphoma,consensus independent component 788_big,consensus independent component 17_Leukemia,consensus independent component 788_big,-0.039292891918436434
566,consensus independent component 137_Lymphoma,consensus independent component 2761_big,consensus independent component 139_Breast cancer,consensus independent component 433_big,-0.03931854326122047
