gene_set_name	in_manual_selection	in_immune_terms	is_immune_process
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY	FALSE	FALSE	FALSE
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	FALSE	FALSE	FALSE
GOBP_AMINOPHOSPHOLIPID_TRANSPORT	FALSE	FALSE	FALSE
GOBP_AMMONIUM_ION_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMMONIUM_TRANSPORT	FALSE	FALSE	FALSE
GOBP_AMP_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMP_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	FALSE	FALSE	FALSE
GOBP_AMYLOID_BETA_CLEARANCE	FALSE	FALSE	FALSE
GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	FALSE	FALSE	FALSE
GOBP_AMYLOID_BETA_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMYLOID_FIBRIL_FORMATION	FALSE	FALSE	FALSE
GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	FALSE	FALSE	FALSE
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS	FALSE	FALSE	FALSE
GOBP_ANATOMICAL_STRUCTURE_MATURATION	FALSE	FALSE	FALSE
GOBP_ANATOMICAL_STRUCTURE_REGRESSION	FALSE	FALSE	FALSE
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ANDROGEN_CATABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ANDROGEN_METABOLIC_PROCESS	FALSE	FALSE	FALSE
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	TRUE	TRUE	TRUE
GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	FALSE	FALSE	FALSE
GOBP_ANIMAL_ORGAN_FORMATION	FALSE	FALSE	FALSE
GOBP_ANIMAL_ORGAN_MATURATION	FALSE	FALSE	FALSE
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_ANIMAL_ORGAN_REGENERATION	FALSE	FALSE	FALSE
GOBP_ANION_HOMEOSTASIS	FALSE	FALSE	FALSE
GOBP_ANION_TRANSMEMBRANE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ANOIKIS	FALSE	FALSE	FALSE
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	FALSE	FALSE	FALSE
GOBP_ANTERIOR_HEAD_DEVELOPMENT	FALSE	FALSE	FALSE
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	FALSE	FALSE	FALSE
GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE	FALSE	FALSE	FALSE
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	FALSE	FALSE	FALSE
GOBP_ANTEROGRADE_AXONAL_PROTEIN_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION	FALSE	FALSE	FALSE
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT	FALSE	FALSE	FALSE
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	FALSE	TRUE	TRUE
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION	FALSE	TRUE	TRUE
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE	FALSE	FALSE	FALSE
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB	FALSE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	TRUE	TRUE	TRUE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	TRUE	TRUE	TRUE
